filename,emotion1_w1,emotion2_w1,emotion3_w1,emotion1_w2,emotion2_w2,emotion3_w2,emotion1_w3,emotion2_w3,emotion3_w3,description_w1,description_w2,description_w3,agreement_w1,agreement_w2,agreement_w3
ants_song_combination_1134.wav,Soothing,Playful,Focusing,Playful,Soothing,Focusing,Sensory-Calming,Grounding,Focusing,"This song creates a calming yet mentally engaging atmosphere with its soothing tones, focusing rhythms, and subtle playful elements. The gentle instrumentation promotes relaxation while maintaining enough structure to aid concentration, with light melodic touches adding warmth and personality. The balance of these qualities makes it ideal for both unwinding and productive work sessions.",It feels like relax and smooth. It sounds like good to hear,The slow pace to this makes it very calming and grounding. Which allows you to focus well.,1,1,1
ants_song_combination_1135.wav,Soothing,Playful,Focusing,Playful,Soothing,Sensory-Calming,Soothing,Anxiety-Reduction,Sensory-Calming,"This song creates a calming yet mentally engaging atmosphere with its soothing tones, focusing rhythms, and subtle playful elements. The gentle instrumentation promotes relaxation while maintaining enough structure to aid concentration, with light melodic touches adding warmth and personality. The balance of these qualities makes it ideal for both unwinding and productive work sessions.","This song has a light, playful tone that brings a sense of joy and curiosity. Its gentle rhythms and soft melodies create a soothing atmosphere, while the sensory-calming elements offer a peaceful and comforting listening experience.",The low bass and steady rumbling in the background gives me a somber and relaxing vibe.  I get a relaxing ASMR sensation from the background as well.,1,2,2
ants_song_combination_1151.wav,Playful,Soothing,Focusing,Transitional,Focusing,Soothing,Sensory-Calming,Anxiety-Reduction,Grounding,"This song creates a calming yet mentally engaging atmosphere with its soothing tones, focusing rhythms, and subtle playful elements. The gentle instrumentation promotes relaxation while maintaining enough structure to aid concentration, with light melodic touches adding warmth and personality. The balance of these qualities makes it ideal for both unwinding and productive work sessions.",GOOD,"This song provides a sensory-calming experience with gentle tones that help soothe and relax the listener. Its grounding rhythm creates a stable foundation, promoting a sense of safety and balance. Together, these elements work to reduce anxiety and support emotional regulation.",1,0,2
ants_song_combination_1421.wav,Playful,Soothing,Focusing,Grounding,Playful,Focusing,Transitional,Grounding,Sensory-Calming,"This song creates a calming yet mentally engaging atmosphere with its soothing tones, focusing rhythms, and subtle playful elements. The gentle instrumentation promotes relaxation while maintaining enough structure to aid concentration, with light melodic touches adding warmth and personality. The balance of these qualities makes it ideal for both unwinding and productive work sessions.",GOOD,The water makes it grounding and very calming. The beat is also calming and playful with some engaging qualities.,1,0,1
ants_song_combination_1422.wav,Soothing,Focusing,Playful,Soothing,Focusing,Playful,Focusing,Soothing,Transitional,"This song creates a calming yet mentally engaging atmosphere with its soothing tones, focusing rhythms, and subtle playful elements. The gentle instrumentation promotes relaxation while maintaining enough structure to aid concentration, with light melodic touches adding warmth and personality. The balance of these qualities makes it ideal for both unwinding and productive work sessions.",It sounds like a good to hear. It feels like a smooth and give relaxation to hear,GOOD,1,1,0
ants_song_combination_1423.wav,Playful,Stimulating,Transitional,Soothing,Focusing,Playful,Soothing,Playful,Focusing,I feel like the fat beat is playful. Which makes it a bit soothing as it is a good pace and volume to it.,"This song creates a calming yet mentally engaging atmosphere with its soothing tones, focusing rhythms, and subtle playful elements. The gentle instrumentation promotes relaxation while maintaining enough structure to aid concentration, with light melodic touches adding warmth and personality. The balance of these qualities makes it ideal for both unwinding and productive work sessions.",It feels like smooth and playful music to hear,1,1,1
ants_song_combination_1438.wav,Playful,Soothing,Focusing,Transitional,Focusing,Grounding,Playful,Sensory-Calming,Soothing,"This song creates a calming yet mentally engaging atmosphere with its soothing tones, focusing rhythms, and subtle playful elements. The gentle instrumentation promotes relaxation while maintaining enough structure to aid concentration, with light melodic touches adding warmth and personality. The balance of these qualities makes it ideal for both unwinding and productive work sessions.",GOOD,For me the water makes it sensory calming and soothing. The playful comes from the louder beat that is faster and over the top.,1,1,1
ants_song_combination_1439.wav,Soothing,Playful,Focusing,Sensory-Calming,Soothing,Grounding,Sensory-Calming,Transitional,Playful,"This song creates a calming yet mentally engaging atmosphere with its soothing tones, focusing rhythms, and subtle playful elements. The gentle instrumentation promotes relaxation while maintaining enough structure to aid concentration, with light melodic touches adding warmth and personality. The balance of these qualities makes it ideal for both unwinding and productive work sessions.",I feel like it has a soothing beat. Which in turn makes it grounding and soothing. As its soft.,"This song gently balances sensory-calming tones with playful melodies that keep the listener engaged. Its smooth transitions create a seamless flow, making it easy to follow and comforting to the senses. The combination of calming and playful elements supports relaxation while maintaining interest.",1,1,1
ants_song_combination_1469.wav,Soothing,Playful,Focusing,Grounding,Sensory-Calming,Playful,Anxiety-Reduction,Playful,Sensory-Calming,"This song creates a calming yet mentally engaging atmosphere with its soothing tones, focusing rhythms, and subtle playful elements. The gentle instrumentation promotes relaxation while maintaining enough structure to aid concentration, with light melodic touches adding warmth and personality. The balance of these qualities makes it ideal for both unwinding and productive work sessions.",The weather makes it very calming as well as soothing. The beat is grounding.,GOOD,1,1,1
ants_song_combination_1101.wav,Stimulating,Playful,Focusing,Stimulating,Playful,Sensory-Calming,Grounding,Playful,Stimulating,"The song consists of a song I learned as a child but can't quite name, the sound of falling water and not much else. It seems to be AI generated.",It is stimulating so that it will capture their attention. Is also playful as it is something that would make them want to move. It is also sensory calming as the focus is now on the music.,This came off as something that was both Whimsical with one of the beats that it kept on playing over that reminded you of something you would find in a cartoon. Yeah it was also calming with the sound of the water in the background that was like a stream.,-1,1,1
ants_song_combination_1517.wav,Soothing,Sensory-Calming,Grounding,Soothing,Sensory-Calming,Focusing,Sensory-Calming,Soothing,Grounding,I felt that this was very calming because of the light tones and sounds that were coming out of it due to the volume. I also felt like with the way they use tone and the instruments and sounds that were coming from this song it was soothing and also it was able to ground you.,"This is a soothing song that combines the natural sounds of water with instruments that feel old and evocative. The combination of the slow, almost melancholy tune with the sound of water creates an environment that is calming while still bringing the mind to a place of focus.",The constant running water in the background gives the track a calm meditative feel.  The slow piano music also sets a calming mood.,2,1,1
ants_song_combination_1037.wav,Soothing,Focusing,Sensory-Calming,Sensory-Calming,Soothing,Focusing,Playful,Sensory-Calming,Anxiety-Reduction,"""This song has a sensory-calming quality, with soft, gentle tones that ease tension. Its soothing melody creates a peaceful atmosphere, while the steady rhythm helps with focus, making it ideal for relaxation or concentration.""",mind relaxing music,The song has a playful and light-hearted tone that makes it enjoyable and engaging,1,1,1
ants_song_combination_1038.wav,Stimulating,Playful,Soothing,Soothing,Sensory-Calming,Anxiety-Reduction,Sensory-Calming,Focusing,Playful,good music,The song has a soothing quality that creates a peaceful and relaxing atmosphere.,A light take on a civil war song. It includes the sounds of ocean waves.,1,1,0
ants_song_combination_1053.wav,Soothing,Transitional,Anxiety-Reduction,Soothing,Grounding,Sensory-Calming,Sensory-Calming,Grounding,Focusing,this music relax my mind,It add a familiar melody. It also had some quiet undertones that were not too stimulating.,I feel like the repeating Melody and the sounds of water makes this very sensory calming as well as grounding. Which both of them are going to make it able so you can focus more.,1,2,2
ants_song_combination_1054.wav,Playful,Soothing,Sensory-Calming,Sensory-Calming,Transitional,Anxiety-Reduction,Sensory-Calming,Soothing,Focusing,good music,The song has a calming effect that helps ease sensory overload,This song's beat and Melody makes it very sensory calming and soothing. Which in turn is going to allow you to get focusing on whatever it is that you have to do.,1,2,0
ants_song_combination_1086.wav,Focusing,Grounding,Stimulating,Playful,Sensory-Calming,Anxiety-Reduction,Soothing,Sensory-Calming,Transitional,melody,"For me I feel like it's a little bit of a playful sound. Which also makes it calming, which reduces anxiety.",The song has a calm and relaxing vibe that makes it easy to listen,1,1,1
ants_song_combination_1087.wav,Playful,Soothing,Sensory-Calming,Playful,Transitional,Focusing,Stimulating,Focusing,Playful,good,The song has a playful percussion-like sound in the background. The tune is from a coronet and is that of a civil war song.,The melody was a bit loud. This would probably help to get motivated and to gain energy.,1,0,0
ants_song_combination_1102.wav,Playful,Sensory-Calming,Anxiety-Reduction,Sensory-Calming,Soothing,Focusing,Playful,Focusing,Stimulating,good music,"""This song has a sensory-calming quality, with soft, gentle tones that ease tension. Its soothing melody creates a peaceful atmosphere, while the steady rhythm helps with focus, making it ideal for relaxation or concentration.""",It was fun and playful. It is something that would capture your attention but help you to focus.,1,1,2
ants_song_combination_1470.wav,Playful,Sensory-Calming,Anxiety-Reduction,Playful,Sensory-Calming,Transitional,Stimulating,Playful,Soothing,"This song features a playful and lighthearted tone that encourages engagement and curiosity. Its sensory-calming qualities create a gentle, soothing atmosphere that helps maintain emotional balance. Together, these elements work to reduce anxiety while keeping the mood uplifting and relaxed.",I like the playful melody. I feel the water adds the calming. There is also transitional going on with the multiple sounds.,It was uplifting and motivating. It also could soothe you and get rid of anxiety.,2,1,2
ants_song_combination_1471.wav,Sensory-Calming,Playful,Anxiety-Reduction,Playful,Grounding,Transitional,Stimulating,Playful,Transitional,"This song has a soothing, sensory-calming quality that creates a gentle and relaxing atmosphere. Its playful elements add a sense of lightness and joy, keeping the mood engaging without being overstimulating. Together, these features help ease anxiety and promote emotional comfort.",The multiple sounds show transitional. I think the repetition makes it grounding. The piano is playful.,The song was very up beat strong percussion giving it a playful feeling. a stimulating or transitional song.,2,1,1
ants_song_combination_1485.wav,Playful,Sensory-Calming,Grounding,Playful,Transitional,Soothing,Sensory-Calming,Transitional,Grounding,"This song has a playful and uplifting tone that evokes a sense of lightness and fun. Its calming melodies and grounded rhythms create a soothing, balanced emotional experience.",You have some playful melody. Then you have the transitional effect. Which both lead to it being soothing.,The water flow sounds gave it a real sensory calming tone. the song seemed upbeat yet gave a grounding or transitional feeling.,2,1,1
ants_song_combination_1486.wav,Playful,Sensory-Calming,Grounding,Sensory-Calming,Transitional,Anxiety-Reduction,Playful,Sensory-Calming,Grounding,The repetition makes it gounding. The water sounds make it something calming. Its piano sound makes it playful.,"This song offers a sensory-calming experience with smooth transitions that guide the listener gently through changing moods. Its soothing melodies help reduce anxiety, creating a peaceful and reassuring atmosphere. The overall effect supports emotional regulation and ease during moments of change.","It had soothing ocean sounds. However, it was also stimulating with the upbeat music.",1,1,2
ants_song_combination_1487.wav,Sensory-Calming,Soothing,Anxiety-Reduction,Playful,Transitional,Anxiety-Reduction,Playful,Grounding,Stimulating,"This song creates a peaceful and calming atmosphere through its gentle melodies and soft textures. Its soothing qualities help ease the listener into a relaxed state, making it especially effective for reducing stress and anxiety. The overall tone supports emotional regulation and a sense of inner calm.",I think this has a playful nature with with the piano which also makes it anxiety reduction. I think there is transitional there as they have the multiple beats and rhythms,The tone seemed playful yet grounding at the same time. A stimulating sound yet calming.,1,1,1
ants_song_combination_1517.wav,Sensory-Calming,Grounding,Soothing,Sensory-Calming,Grounding,Soothing,Playful,Soothing,Sensory-Calming,"This song offers a deeply calming sensory experience, using soft tones and gentle rhythms to soothe the listener. Its grounding elements provide a steady, stable feeling that promotes emotional balance and a sense of being present. The overall effect is relaxing and centering.",The low sound makes it soothing. The water makes it calming. Both are grounding.,The song was soothing. It reminds me of a lullaby a new mom might play.,2,1,1
ants_song_combination_1518.wav,Playful,Grounding,Sensory-Calming,Sensory-Calming,Soothing,Grounding,Sensory-Calming,Grounding,Focusing,"This song carries a playful and cheerful energy that encourages movement and engagement. Its grounding qualities provide a sense of stability and emotional balance, helping the listener feel secure. The sensory-calming elements add a soothing layer, making the overall experience both fun and relaxing.",The water makes it very calming. Its also soothing because of it. The repetition in the song makes it grounding.,The song had a strong calm beat with some ambient noise. Soothing and sort of a calming relaxing feel.,2,2,2
ants_song_combination_1519.wav,Soothing,Sensory-Calming,Grounding,Sensory-Calming,Anxiety-Reduction,Playful,Sensory-Calming,Anxiety-Reduction,Grounding,I think that the slow pace and the low tone makes it calming and soothing. Which also allows it to be used for grounding.,"This song creates a soothing and sensory-calming atmosphere that helps ease tension and promote relaxation. Its gentle melodies and rhythms work to reduce anxiety, providing a comforting and peaceful experience. Playful touches add lightness, making the mood both calming and uplifting.","The echo made it seem like something that could help you ponder. It was a slow and almost sad tempo and melody, which was borderline depressing.",0,1,-1
ants_song_combination_1533.wav,Playful,Sensory-Calming,Anxiety-Reduction,Sensory-Calming,Grounding,Soothing,Grounding,Focusing,Sensory-Calming,"This song has a playful and uplifting tone that sparks curiosity and engagement. Its sensory-calming elements provide a gentle backdrop, balancing the energy with soothing sounds. The combination helps reduce anxiety while maintaining a lighthearted and comforting atmosphere.",The water makes it calming but also soothing as that sounds great. I think it can also be grounding due to the repetitiveness.,This would be great music to sit down and think. It would be ideal for relaxation or a brainstorming session.,2,2,2
ants_song_combination_1534.wav,Sensory-Calming,Anxiety-Reduction,Playful,Sensory-Calming,Soothing,Grounding,Soothing,Anxiety-Reduction,Sensory-Calming,"This song blends calming sounds with a light, playful energy that creates a soothing yet uplifting atmosphere. Its gentle melodies help reduce anxiety, offering comfort and relaxation. The playful elements add a touch of joy, making the overall experience feel both peaceful and engaging.",What sounds like water makes it calming and soothing. The low melody makes it soothing.,the music was calming. It was like something you would do yoga to.,2,1,1
ants_song_combination_1535.wav,Playful,Sensory-Calming,Grounding,Soothing,Anxiety-Reduction,Sensory-Calming,Soothing,Sensory-Calming,Grounding,"This song blends a playful and cheerful tone with calming sensory elements, creating a lighthearted yet soothing experience. The gentle sounds promote relaxation, while grounding rhythms offer a sense of stability and presence. Together, these features make the song both engaging and emotionally supportive.","The piano accompanying the main part is a faster tempo, but still matches it well. So the whole atmosphere remains a calming vibe.",The repetition makes it grounding and soothing. There is also some other element in the background that is calming.,1,2,1
ants_song_combination_1613.wav,Playful,Sensory-Calming,Grounding,Stimulating,Playful,Transitional,Stimulating,Transitional,Playful,"This song blends a playful and cheerful tone with calming sensory elements, creating a lighthearted yet soothing experience. The gentle sounds promote relaxation, while grounding rhythms offer a sense of stability and presence. Together, these features make the song both engaging and emotionally supportive.","The music is soothing because of the brook sound, and the calm melody . However, it is a bit confusing because of a sound that sounds like a busy bee.","The flowing water overpowers the keyboard music and since it is a fast flow, it makes me feel more anxiety.  The two rhythms of music don't make sense together and it creates more confusion and an alert feeling.",1,-1,-2
ants_song_combination_1614.wav,Focusing,Soothing,Playful,Playful,Transitional,Stimulating,Transitional,Stimulating,Playful,"This song has a focusing quality that encourages attention and mental clarity, making it easy to stay engaged. Its soothing tones create a calm and relaxed atmosphere, while playful elements add a sense of lightness and enjoyment. The combination supports both concentration and emotional well-being.",The sound of the waves is too loud. It also had too much going on like it was in a frenzy underneath a lullaby.,I like that the wind gives me a calm feeling.  But the fast rhythm is opposite of that and creates a strange uneasy effect.,1,-2,-1
ants_song_combination_1615.wav,Playful,Soothing,Sensory-Calming,Playful,Stimulating,Transitional,Stimulating,Playful,Transitional,"This song has a playful and lighthearted tone that invites engagement and curiosity. Its soothing melodies and gentle flow create a sense of calm and comfort. The sensory-calming elements further enhance relaxation, making the overall experience both fun and peaceful.",The music was too busy. It had a slow tempo but underneath it had a quick tempo.,The fast rhythm of the keyboard clashes with the slow piano and makes for a strange chaotic vibe.  It makes me more awake because the music doesn't make sense.,1,-1,-1
ants_song_combination_1629.wav,Playful,Soothing,Sensory-Calming,Stimulating,Playful,Transitional,Stimulating,Playful,Transitional,"This song has a playful and lighthearted tone that invites engagement and curiosity. Its soothing melodies and gentle flow create a sense of calm and comfort. The sensory-calming elements further enhance relaxation, making the overall experience both fun and peaceful.",The tone was up beat and playful. It was stimulating and a good transitional tone.,The water rushing overpowers the music and actually makes me more anxious because of how loud it is.  The fast music also adds to that stress.  It makes me want to be more active.,2,-1,-1
ants_song_combination_1630.wav,Playful,Soothing,Sensory-Calming,Soothing,Sensory-Calming,Grounding,Playful,Grounding,Sensory-Calming,"This song has a playful and lighthearted tone that invites engagement and curiosity. Its soothing melodies and gentle flow create a sense of calm and comfort. The sensory-calming elements further enhance relaxation, making the overall experience both fun and peaceful.",Th song had a calm tone very soothing. This gave it a grounding calming effect.,"There is a playful rhythm that is also grounding. Then you have something that sounds like water, which is calming.",1,1,2
ants_song_combination_1631.wav,Playful,Soothing,Sensory-Calming,Stimulating,Playful,Transitional,Stimulating,Soothing,Transitional,"This song has a playful and lighthearted tone that invites engagement and curiosity. Its soothing melodies and gentle flow create a sense of calm and comfort. The sensory-calming elements further enhance relaxation, making the overall experience both fun and peaceful.",The music was a bit confusing. It was busy in some parts but tried to be calming in others. It was all overlaid in a confusing manner.,I think the rhythm is stimulation with the style and volume. Its also transitional and has a soothing effect.,1,-1,2
ants_song_combination_1661.wav,Soothing,Grounding,Transitional,Playful,Sensory-Calming,Grounding,Stimulating,Focusing,Playful,"This song has a soothing quality that promotes relaxation and emotional ease. Its grounding elements provide a steady, stable foundation that helps the listener feel centered and secure. The repetition of grounding features reinforces a sense of calm and balance throughout the piece.",The song was upbeat and playful. It also provided a grounding and sensory calming effect.,"The water sound is loud compared to the music and the speed of the water makes me more stressed.  The music is lively and high pitched, which also makes me feel active.",1,1,1
ants_song_combination_1662.wav,Playful,Soothing,Sensory-Calming,Soothing,Sensory-Calming,Grounding,Playful,Sensory-Calming,Transitional,"This song has a playful and lighthearted tone that invites engagement and curiosity. Its soothing melodies and gentle flow create a sense of calm and comfort. The sensory-calming elements further enhance relaxation, making the overall experience both fun and peaceful.",The song provided a sooothing calming effect. a good tone for sensory grounding.,I feel that the water makes it calming. Then you have playful piano and some transitional play.,1,1,0
ants_song_combination_1663.wav,Stimulating,Playful,Focusing,Playful,Soothing,Sensory-Calming,Playful,Grounding,Soothing,The music sounds playful and upbeat. It reminds me of a marching band.,"This song has a playful and lighthearted tone that invites engagement and curiosity. Its soothing melodies and gentle flow create a sense of calm and comfort. The sensory-calming elements further enhance relaxation, making the overall experience both fun and peaceful.",The playful melody is also grounding as it repeats itself many times. There is also a soothing element to it.,2,1,1
ants_song_combination_1677.wav,Playful,Soothing,Sensory-Calming,Stimulating,Playful,Grounding,Playful,Sensory-Calming,Transitional,"This song has a playful and lighthearted tone that invites engagement and curiosity. Its soothing melodies and gentle flow create a sense of calm and comfort. The sensory-calming elements further enhance relaxation, making the overall experience both fun and peaceful.",The song provided a calm grounding effect. At the same time it encouraged a playful stimulating sensation.,You have separate beats and melodies which are transitional. You also have the water which is calming.,1,1,0
ants_song_combination_1678.wav,Playful,Soothing,Sensory-Calming,Stimulating,Playful,Grounding,Playful,Sensory-Calming,Transitional,"This song has a playful and lighthearted tone that invites engagement and curiosity. Its soothing melodies and gentle flow create a sense of calm and comfort. The sensory-calming elements further enhance relaxation, making the overall experience both fun and peaceful.",The music is playful and exciting. However it has wooshing sounds so that it does not get too overwhelming.,The piano is playful and also transitional as it repeats itself. The sound of water is sensory calming.,1,1,2
ants_song_combination_1470.wav,Playful,Sensory-Calming,Anxiety-Reduction,Playful,Sensory-Calming,Transitional,Stimulating,Playful,Soothing,"This song features a playful and lighthearted tone that encourages engagement and curiosity. Its sensory-calming qualities create a gentle, soothing atmosphere that helps maintain emotional balance. Together, these elements work to reduce anxiety while keeping the mood uplifting and relaxed.",I like the playful melody. I feel the water adds the calming. There is also transitional going on with the multiple sounds.,It was uplifting and motivating. It also could soothe you and get rid of anxiety.,2,1,2
ants_song_combination_1471.wav,Sensory-Calming,Playful,Anxiety-Reduction,Playful,Grounding,Transitional,Stimulating,Playful,Transitional,"This song has a soothing, sensory-calming quality that creates a gentle and relaxing atmosphere. Its playful elements add a sense of lightness and joy, keeping the mood engaging without being overstimulating. Together, these features help ease anxiety and promote emotional comfort.",The multiple sounds show transitional. I think the repetition makes it grounding. The piano is playful.,The song was very up beat strong percussion giving it a playful feeling. a stimulating or transitional song.,2,1,1
ants_song_combination_1485.wav,Playful,Sensory-Calming,Grounding,Playful,Transitional,Soothing,Sensory-Calming,Transitional,Grounding,"This song has a playful and uplifting tone that evokes a sense of lightness and fun. Its calming melodies and grounded rhythms create a soothing, balanced emotional experience.",You have some playful melody. Then you have the transitional effect. Which both lead to it being soothing.,The water flow sounds gave it a real sensory calming tone. the song seemed upbeat yet gave a grounding or transitional feeling.,2,1,1
ants_song_combination_1486.wav,Playful,Sensory-Calming,Grounding,Sensory-Calming,Transitional,Anxiety-Reduction,Playful,Sensory-Calming,Grounding,The repetition makes it gounding. The water sounds make it something calming. Its piano sound makes it playful.,"This song offers a sensory-calming experience with smooth transitions that guide the listener gently through changing moods. Its soothing melodies help reduce anxiety, creating a peaceful and reassuring atmosphere. The overall effect supports emotional regulation and ease during moments of change.","It had soothing ocean sounds. However, it was also stimulating with the upbeat music.",1,1,2
ants_song_combination_1487.wav,Sensory-Calming,Soothing,Anxiety-Reduction,Playful,Transitional,Anxiety-Reduction,Playful,Grounding,Stimulating,"This song creates a peaceful and calming atmosphere through its gentle melodies and soft textures. Its soothing qualities help ease the listener into a relaxed state, making it especially effective for reducing stress and anxiety. The overall tone supports emotional regulation and a sense of inner calm.",I think this has a playful nature with with the piano which also makes it anxiety reduction. I think there is transitional there as they have the multiple beats and rhythms,The tone seemed playful yet grounding at the same time. A stimulating sound yet calming.,1,1,1
ants_song_combination_1517.wav,Sensory-Calming,Grounding,Soothing,Sensory-Calming,Grounding,Soothing,Playful,Soothing,Sensory-Calming,"This song offers a deeply calming sensory experience, using soft tones and gentle rhythms to soothe the listener. Its grounding elements provide a steady, stable feeling that promotes emotional balance and a sense of being present. The overall effect is relaxing and centering.",The low sound makes it soothing. The water makes it calming. Both are grounding.,The song was soothing. It reminds me of a lullaby a new mom might play.,2,1,1
ants_song_combination_1518.wav,Playful,Grounding,Sensory-Calming,Sensory-Calming,Soothing,Grounding,Sensory-Calming,Grounding,Focusing,"This song carries a playful and cheerful energy that encourages movement and engagement. Its grounding qualities provide a sense of stability and emotional balance, helping the listener feel secure. The sensory-calming elements add a soothing layer, making the overall experience both fun and relaxing.",The water makes it very calming. Its also soothing because of it. The repetition in the song makes it grounding.,The song had a strong calm beat with some ambient noise. Soothing and sort of a calming relaxing feel.,2,2,2
